;postal_code;latitude;longitude
1041;4320;48.2448;14.656150000000002
1042;4322;48.2675;14.675155555555556
1043;4323;48.2952;14.692323076923078
1044;4324;48.2675;14.681755555555558
1045;4331;48.2167;14.63213076923077
1046;4332;48.2254;14.6114
1047;4341;48.209;14.7153
1048;4342;48.1952;14.72821052631579
1049;4343;48.209;14.71175
1050;4351;48.1986;14.7927125
1051;4352;48.2206;14.785626666666667
1052;4360;48.2403;14.838507142857145
1053;4362;48.2809;14.8233
1054;4363;48.3364;14.8292625
1055;4364;48.2809;14.813192857142855
1056;4371;48.2968;14.904022222222222
1057;4372;48.344;14.90625
1058;4381;48.233;14.902833333333334
1059;4382;48.2167;14.94355
1060;4391;48.2819;14.9452125
1061;4392;48.2707;14.9452
1062;4400;48.0427;14.409376923076923
1069;4407;48.0427;14.421716666666669
1072;4421;47.9923;14.32712
1073;4431;48.0921;14.492
1074;4432;48.1333;14.5
1075;4441;47.9942;14.494775
1076;4442;48.0;14.519371428571429
1077;4443;47.9942;14.538075
1078;4451;48.0427;14.4000375
1079;4452;47.9333;14.35
1080;4453;47.9333;14.35
1081;4460;47.9243;14.44335
1082;4461;47.95;14.445466666666666
1083;4462;47.8833;14.45835
1084;4463;47.8833;14.499511111111111
1085;4464;47.8167;14.6333
1086;4470;48.2066;14.457707142857144
1087;4481;48.223;14.419516666666668
1088;4482;48.2118;14.47175
1089;4483;48.1704;14.431936363636362
1090;4484;48.1395;14.452007142857145
1091;4490;48.1809;14.378066666666664
1092;4491;48.1633;14.337866666666663
1093;4492;48.1809;14.3732
1094;4493;48.1227;14.3639
1095;4501;48.1387;14.2276
1096;4502;48.1436;14.292007142857145
1097;4511;48.1585;14.196360000000002
1098;4521;48.0623;14.2975625
1099;4522;48.0434;14.299975
1100;4523;48.0333;14.339566666666665
1101;4531;48.088;14.210381818181816
1102;4532;48.0529;14.19598888888889
1103;4533;48.088;14.216483333333334
1104;4540;48.0529;14.1821
1105;4541;47.9923;14.196183333333332
1106;4542;47.9782;14.16237142857143
1107;4550;48.0529;14.111866666666666
1108;4551;47.999;14.081390909090908
1109;4552;47.9891;14.117828571428571
1110;4553;47.964;14.11284
1111;4554;47.999;14.1347
1112;4560;47.9056;14.1223
1113;4562;47.8926;14.0304
1114;4563;47.8936;14.1231
1115;4564;47.8314;14.1572
1116;4565;47.9281;14.082925
1117;4571;47.7833;14.151566666666668
1118;4572;47.7833;14.2018
1119;4573;47.7379;14.193042857142858
1120;4574;47.7134;14.2142
1121;4575;47.7351;14.265466666666669
1122;4580;47.7222;14.3501
1123;4581;47.7131;14.371766666666666
1124;4582;47.7149;14.3435
1125;4591;47.7195;14.292825
1126;4592;47.8967;14.2398
1127;4593;47.9333;14.2466
1128;4594;47.9612;14.28758
1129;4595;48.0061;14.261128571428571
1130;4596;47.9923;14.275075
1131;4600;48.1833;14.023788372093025
1140;4611;48.2192;14.042764
1141;4612;48.2581;14.024806666666668
1142;4613;48.2192;14.0569875
1143;4614;48.2056;14.086066666666667
1144;4615;48.2192;14.069566666666669
1145;4616;48.2192;14.1012375
1148;4621;48.0529;14.055355555555556
1149;4622;48.1388;14.100125
1150;4623;48.1388;13.95038653846154
1151;4624;48.1388;13.935284
1152;4625;48.1388;13.937671875
1153;4631;48.2132;13.914371999999998
1154;4632;48.1883;13.89689298245614
1155;4633;48.1794;13.870070588235292
1156;4641;47.9878;14.019528571428571
1157;4642;48.0667;14.05383
1158;4643;48.0167;14.021084615384616
1159;4644;47.9016;13.944083333333332
1160;4645;47.8969;13.9531
